mes;cliente;campanya;objetivo;subojetivo;objetivo_final;disciplina;soporte;tipo_coste;pagador;producto;subproducto;impresiones;clics;inversion;impresiones_medibles;impresiones_visibles;views;views_25;views_50;views_75;video_100
3;Orange;BC-R-Quedate;Branding;Consideración;Cobertura;Social;TWITTER;CPM;RESIDENCIAL;BCRESIDENCIAL;QUEDATEENCASA;9066368.0;54108.0;14178.45034;0.0;0.0;5176620.0;4755703.0;2661462.0;1498620.0;934585.0
3;Orange;BC-R-Quedate;Branding;Consideración;Cobertura;Video Online;A3ADVERTISING;CPM;RESIDENCIAL;BCRESIDENCIAL;QUEDATEENCASA;599243.0;29265.0;8389.4;6.0;0.0;598779.0;526215.0;492971.0;473163.0;457898.0
3;Orange;BC-R-Quedate;Branding;Consideración;Cobertura;Video Online;AS;CPM;RESIDENCIAL;BCRESIDENCIAL;QUEDATEENCASA;977135.0;29568.0;8860.909999999998;961675.0;895546.0;976320.0;642634.0;131014.0;88093.0;70175.0
3;Orange;BC-R-Quedate;Branding;Consideración;Cobertura;Video Online;ELMUNDO;CPM;RESIDENCIAL;BCRESIDENCIAL;QUEDATEENCASA;490141.0;5765.0;2933.3300000000004;462246.0;358990.0;489130.0;363692.0;208703.0;174507.0;156263.0
3;Orange;BC-R-Quedate;Branding;Consideración;Cobertura;Video Online;ELPAIS;CPM;RESIDENCIAL;BCRESIDENCIAL;QUEDATEENCASA;934664.0;27486.0;8860.91;288217.0;252039.0;933736.0;729048.0;508223.0;432468.0;384219.0
3;Orange;BC-R-Quedate;Branding;Consideración;Cobertura;Video Online;MARCA;CPM;RESIDENCIAL;BCRESIDENCIAL;QUEDATEENCASA;3433705.0;43913.0;13734.409999999998;3432118.0;3044985.0;3430559.0;2386631.0;1267090.0;1112376.0;1044583.0
3;Orange;BC-R-Quedate;Branding;Consideración;Cobertura;Video Online;PUBLIESPAÑA;CPM;RESIDENCIAL;BCRESIDENCIAL;QUEDATEENCASA;595558.0;33775.0;8634.72;595172.0;539041.0;594957.0;530161.0;512169.0;503395.0;497939.0
3;Orange;BC-R-Quedate;Branding;Consideración;Cobertura;Video Online;VOCENTO;CPM;RESIDENCIAL;BCRESIDENCIAL;QUEDATEENCASA;1001102.0;1217.0;7084.539999999999;1.0;1.0;994405.0;560798.0;362505.0;226238.0;142047.0
3;Orange;BC-R-Quedate;Branding;Consideración;Cobertura;Video Online;YOUTUBE;CPM;RESIDENCIAL;BCRESIDENCIAL;QUEDATEENCASA;15888858.0;80525.0;22179.91;15942082.0;14717081.0;5087267.0;3821905.0;2182164.0;1816672.0;1604466.0
3;Orange;BC-R-Quedate;Branding;Consideración;Cobertura;Video Online;YOUTUBE;CPV;RESIDENCIAL;BCRESIDENCIAL;QUEDATEENCASA;2447145.0;8246.0;2572.44;0.0;0.0;541072.0;363949.0;186934.0;143596.0;117950.0
